String,Admin Roles,Content Roles,End User,From Mukurtu
"<a href="":fix_404"">""Fix 404 pages""</a> lists all paths that have resulted in 404 errors and do not yet have any redirects assigned to them. This 404 (or Not Found) error message is an HTTP standard response code indicating that the client was able to communicate with a given server, but the server could not find what was requested.",,,,
"<a href="":login"">Log in</a> or <a href="":register"">register</a> to post comments",x,x,x,
"<a href="":login"">Log in</a> to post comments",x,x,x,
"<a href="":settings_url"">Enable translation</a> for <em>content types</em>, <em>taxonomy vocabularies</em>, <em>accounts</em>, or any other element you wish to translate.",x,,,
"<a href="":update_status_report"">Update to @next_minor or higher</a> soon to continue receiving security updates.",x,,,
"<a href="":update_status_report"">Update to a supported minor</a> as soon as possible to continue receiving security updates.",x,,,
"<a href="":url"">@message</a>",,,,
"<a href="":url"">@module</a>",,,,
"<a href="":url"">@theme</a>",,,,
"<a href="":url"">Configure the %display_mode_label %mode mode for %bundle_label</a>.",,,,
"<a href="":url"">Deprecated modules</a> are modules that may be removed from the next major release of Drupal core and the relevant contributed module. Use at your own risk.",,,,
"<a href="":url"">Deprecated modules</a> are modules that may be removed from the next major release of Drupal core. Use at your own risk.",,,,
"<a href="":url"">Deprecated modules</a> are modules that may be removed from the next major release of this project. Use at your own risk.",,,,
"<a href="":url"">Experimental modules</a> are provided for testing purposes only. Use at your own risk.",,,,
"<a href="":url"">Pathauto settings</a> are set to ignore paths which already have a URL alias. You can only create URL aliases for paths having none.",,,,
"<a href="":w3"">Media queries</a> are a formal way to encode breakpoints. For instance, a width breakpoint at 40em would be written as the media query ""(min-width: 40em)"". Breakpoints are really just media queries with some additional meta-data, such as a name and multiplier information.",,,,
"<a href=""@create_content"">Create Content:</a> Want to get right to work? Start adding content. <strong>Note:</strong> the information on this page will go away once you add content to your site. Read on and bookmark resources of interest.",,,,
"<a href=""@drupal_community"">Community Page:</a> List of key Drupal community groups with their own content.",,,,
"<a href=""@drupal_events"">Upcoming Events:</a> Learn and connect with others at conferences and events held around the world.",,,,
"<a href=""@drupal_extend"">Extend Drupal:</a> Drupal’s core software can be extended and customized in remarkable ways. Install additional functionality and change the look of your site using addons contributed by our community.",,,,
"<a href=""@drupal_user_guide"">User Guide:</a> Includes installing, administering, site building, and maintaining the content of a Drupal website.",,,,
"<a href=""http://en.wikipedia.org/wiki/Basic_access_authentication"">HTTP Basic authentication</a> is a method for authenticating requests by sending a user name and password along with the request.",,,,
"<a href=""https://www.drupal.org/docs/8/core/modules/media"">Media module</a>",,,,
"<a href=""https://www.drupal.org/docs/configuration-management/workflow-using-drush"">Configuration Management: Workflow using Drush</a>",,,,
"<a href=""https://www.drupal.org/docs/system-requirements"">Database connection does not support JSON.</a>",,,,
"<a href=""https://www.drupal.org/docs/upgrading-drupal"">Upgrading Drupal</a>",,,,
"<a href=""https://www.drupal.org/docs/upgrading-drupal/upgrading-from-drupal-6-or-7-to-drupal-8-and-newer"">Upgrading from Drupal 6 or 7 to Drupal 8 (and newer)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/blocks-chapter.html"">Blocks (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/extend-chapter.html"">Extending and Customizing Your Site (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/install-dev-making.html"">Making a Development Site (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/install-dev-sites.html"">Concept: Development Sites (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/menu-concept.html"">Concept: Menu (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/planning-chapter.html"">Planning your Site (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/prevent-cache.html"">Concept: Cache (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/prevent-chapter.html"">Preventing and Fixing Problems (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/security-chapter.html"">Security and Maintenance (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/security-chapter.html"">Security and Maintenance (Drupal User Guide)</a>, which includes information on how to update your site's core software, modules, and themes.",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/security-cron.html"">Configuring Cron Maintenance Tasks (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/security-cron-concept.html"">Concept: Cron (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/structure-reference-fields.html"">Concept: Reference Fields (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/understanding-data.html"">Concept: Types of Data (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/understanding-modules.html"">Concept: Modules (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/docs/user_guide/en/views-chapter.html"">Creating Listings with Views (Drupal User Guide)</a>",,,,
"<a href=""https://www.drupal.org/documentation/modules/search"">Online documentation for the Search module</a>",,,,
"<a href=""https://www.drupal.org/drupal-security-team/security-advisory-process-and-permissions-policy"">Security advisory process and permissions policy</a>",,,,
"<a href=""https://www.php.net/manual/datetime.format.php#refsect1-datetime.format-parameters"">PHP date format codes reference</a>",,,,
"<a href=""https://www.php.net/manual/en/function.ob-start.php"">Output buffering</a> is not enabled. This may degrade Drupal's performance. You can enable output buffering by default <a href=""https://www.php.net/manual/en/outcontrol.configuration.php#ini.output-buffering"">in your PHP settings</a>.",,,,
"<abbr title=""Abbreviation"">Abbrev.</abbr>",,,,
"<acronym title=""Three-Letter Acronym"">TLA</acronym>",,,,
<code>@name</code>,,,,
"<code>@name</code> is supported, but only version <code>@supported_version</code>, found <code>@installed_version</code>.",,,,
<code>@package_name</code>'s requested version @package_version is less stable (@package_stability) than the minimum stability (@minimum_stability) required in @file.,,,,
<code>rsync</code> is not available.,,,,
"<div class=""nid visually-hidden"">{{ nid }}</div>",,,,
"<div class=""uuid visually-hidden"">{{ uuid }}</div>",,,,
<em>&lt;front&gt;</em> to link to the front page of your site,,,,
<em>&lt;nolink&gt;</em> to display the <em>Menu link title</em> as plain text without a link,,,,
"<em>Account administration pages</em> follows the configuration set as <em>Administration pages language</em> on the profile page of an administrative user. This method is similar to the <em>User</em> method, but only sets the interface text language on administration pages, independent of the interface text language on other pages.",,,,
"<em>Advanced</em> &gt; <em>Contextual filters</em>: like regular filters, except the criteria come from the <em>context</em>, such as the current date, page the view is displayed on, etc.",,,,
"<em>Advanced</em> &gt; <em>Exposed form</em>: if you have exposed filters or sorts, how to display the form to the user.",,,,
